US8731929B2;System for responding to natural language speech utterance, has parser that determines context for keywords in utterance such that parser selects domain agents based on determined meaning The system has an agent architecture that has several domain agents that receive process and respond to request associated with a respective context. A parser (118) determines a context for keywords in the utterance and determines the meaning of utterance. The parser selects the domain agents based on determined meaning. An event manager (100) coordinates the interaction between parser and agent architecture. System for responding to natural language speech utterance, for use with portable computer and personal digital assistant (PDA). The parser determines the context for keywords in the utterance and determines the meaning of utterance so that parser selects the domain agents reliably based on determined meaning. Hence a complete speech-based natural language query and response environment can be provided efficiently. The user can submit the natural language speech questions and commands reliably. The drawing shows a schematic view of the system.100Event manager118Parser120Speech recognition engine124Text to speech engine136Internet A system for processing natural language utterances, comprising: a computing device having access to a plurality of domain agents associated with a plurality of different domains, and programmed to execute one or more computer program instructions which, when executed, cause the computing device to: receive a first natural language utterance; determine that the first natural language utterance contains one or more words that were unrecognized or incorrectly recognized in response to a recognition associated with the first natural language utterance having a confidence level below a predetermined value; obtain a phonetic alphabet spelling associated with the one or more unrecognized or incorrectly recognized words in response to the determination; look up the one or more unrecognized or incorrectly recognized words in one or more dictionary and phrase tables based on the phonetic alphabet spelling; update the one or more dictionary and phrase tables based on a pronunciation associated with the one or more unrecognized or incorrectly recognized words; receive a second natural language utterance that comprises a question; generate a digitized speech signal from the second natural language utterance; recognize one or more words in the second natural language utterance based on a pronunciation associated with the one or more words using the one or more dictionary and phrase tables; tag the one or more words in the second natural language utterance with a user identity determined from voice characteristics associated with the digitized speech signal and one or more user profiles; determine a context of the question in the second natural language utterance; select one of the plurality of domain agents based on the context of the question; generate a request associated with the second natural language utterance based on the one or more words in the second natural language utterance and a grammar used by the selected domain agent, wherein the request includes the question; invoke the selected domain agent to cause the selected domain agent to process the request; and receive a response to the request from the selected domain agent.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US20160188292A1;Method of interpreting natural language inputs based on storage of inputs, involves reprocessing natural language input obtained from storage to determine second interpretation of natural language input The method involves obtaining (402) a natural language input of a user by computer system. The natural language input is initially obtained through an input mode. The natural language input is processed (404) to determine a first interpretation of the natural language input. The natural language input is stored (406) based on a data format associated with the input mode. The natural language input is obtained (408) from storage. The natural language input obtained from storage is reprocessed (410) to determine a second interpretation of the natural language input. An INDEPENDENT CLAIM is also included for a system of interpreting natural language inputs based on storage of inputs. Method of interpreting natural language inputs based on storage of inputs. The audio file can be obtained from the cache and processed by the speech recognition engine to determine one or more reinterpretations of the utterance stored in the audio file in the event that the user input is to be reprocessed. The search can be performed, and the results of the search can be provided for presentation to the user if the selected interpretation indicates that the user provided the input to search for particular information. The drawing shows a flow diagram illustrating the method of interpreting natural language inputs based on storage of the inputs. 402Step for obtaining the natural language input of user404Step for processing the natural language input to determine first interpretation of the natural language input406Step for storing the natural language input408Step for obtaining the natural language input from storage410Step for reprocessing the natural language input obtained from storage to determine second interpretation of the natural language input A method of interpreting natural language inputs based on storage of the inputs, the method being implemented on a computer system that includes one or more physical processors executing computer program instructions which, when executed by the one or more physical processors, perform the method, the method comprising: obtaining, by the computer system, a natural language input of a user, wherein the natural language input is initially obtained via an input mode; processing, by the computer system, the natural language input to determine a first interpretation of the natural language input; storing, by the computer system, the natural language input based on a data format associated with the input mode; obtaining, by the computer system, the natural language input from storage; and reprocessing, by the computer system, the natural language input obtained from storage to determine a second interpretation of the natural language input.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US9607102B2;Method for switching task in conversational dialogue software application installed in e.g. mobile device, involves changing task rule for corresponding task from rules-based model to optimized statistical based task switching model The method involves optimizing a statistical task switching model based on first quality metric. Second quality metric is calculated based on whether a portion of identified first candidate tasks correspond to secondary tasks. A determination is made to check whether one of the rules-based tasks switching rules is modified based on whether the second quality metric satisfies threshold quantity. A task switching rule is changed for a corresponding candidate task from a rules-based model to an optimized statistical based task model when the second quality metric satisfies the threshold quantity. INDEPENDENT CLAIMS are also included for the following:a system for switching a task in a conversational dialogue software application installed in a computing devicea non-transitory computer-readable storage medium comprising a set of instructions for switching a task in a conversational dialogue software application installed in a computing device. Method for switching a task in a conversational dialogue software application installed in a computing device e.g. mobile device and laptop, through a network. Uses include but are not limited to private intranets, corporate networks, LANs, wireless networks and personal networks (PAN). The method enables providing flexibility in managing task interruptions by allowing or not allowing rules or restrictions to be implemented. The method enables performing functionality of data server software to operations or decisions made automatically based on the rules coded into a control logic. The drawing shows a flow diagram illustrating a method for switching a task in a conversational dialogue software application installed in a computing device. 302Selector304Intent312From account314To account316Amount A method comprising: receiving, by a computing device comprising a natural language understanding automatic speech recognition computing engine device, a first natural language input comprising one or more words; activating, by the natural language understanding automatic speech recognition computing engine device, a first task based on the first natural language input, wherein the first task is associated with one or more first task agents configured for retrieving information associated with the first task; prompting, by the natural language understanding automatic speech recognition computing engine device and via a first of the one or more first task agents, for a subsequent natural language input based on a first transcription of the first natural language input and based on a first intent associated with the first task; receiving, by the natural language understanding automatic speech recognition computing engine device and while the first task is activated, a second natural language input comprising one or more words; responsive to determining, by the natural language understanding automatic speech recognition computing engine device, that a task activation switching parameter associated with the first task is not a false value and that a second intent associated with the second natural language input is different from the first intent associated with the first task, determining, by the natural language understanding automatic speech recognition computing engine device: one or more candidate second tasks that are capable of being activated based on one or more task switching rules that identify one or more tasks that are allowed to interrupt the activated first task, wherein an interrupted task is arranged in a task stack memory component of the computing device; and one or more candidate third tasks that are incapable of being activated based on the one or more task switching rules;  activating, by the natural language understanding automatic speech recognition computing engine device, one of the one or more candidate second tasks, wherein the activated candidate second task is associated with one or more second task agents configured for retrieving information associated with the activated candidate second task; responsive to satisfying the one or more second task agents with the first natural language input, the second natural language input, or an additional natural language input, performing, by the computing device, an action associated with the activated second candidate task; determining, by the natural language understanding automatic speech recognition computing engine device, whether the second natural language input satisfies the one or more first task agents associated with the first task; performing, by the computing device, an action associated with the first task responsive to the second natural language input satisfying the one or more first task agents; and prompting, by the natural language understanding automatic speech recognition computing engine device and via one of the one or more first task agents, for a second subsequent natural language input based on the first transcription of the first natural language input responsive to the second natural language input not satisfying the one or more first task agents.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US8886536B2;Computer-implemented method of obtaining conversationally- related promotional content, involves determining promotional content by physical processors based on natural language utterances, and presenting promotional content to user The method involves receiving first natural language utterance by multiple physical processors, and providing a response to first natural language utterance by physical processors. A second natural language utterance relating to the first natural language utterance is received by the physical processors. A promotional content is determined by the physical processors based on the first natural language utterance and the second natural language utterance. The promotional content is presented to a user by the physical processors. An INDEPENDENT CLAIM is included for a system for obtaining conversationally-related promotional content. Computer-implemented method of obtaining conversationally- related promotional content. The conversationally- related promotional content can be obtained efficiently. The advertisements can be presented based on natural language processing of voice-based input. The user interaction with the system for obtaining conversationally-related promotional content can be improved. The advertisement selection performance using the advertisement selection module can be improved. The drawing shows a block diagram of the system for implementing a voice user interface. 100System for implementing voice user interface105Input device110Automatic speech recognizer120Conversational language processor135Agents A computer-implemented method of providing promotional content related to one or more natural language utterances and/or responses, the method being implemented by a computer system that includes one or more physical processors executing one or more computer program instructions which, when executed, perform the method, the method comprising: receiving, at the one or more physical processors, a first natural language utterance; providing, by the one or more physical processors, a response to the first natural language utterance; receiving, at the one or more physical processors, a second natural language utterance relating to the first natural language utterance; performing, by the one or more physical processors, speech recognition to recognize one or more words of the second natural language utterance; determining, by the one or more physical processors, domain information for the one or more recognized words based on the first natural language utterance; processing, by the one or more physical processors, based on the domain information, the one or more recognized words to determine an interpretation of the second natural language utterance, wherein processing the one or more recognized words comprises: providing the one or more recognized words to a first domain agent associated with a first domain and a second domain agent associated with a second domain; obtaining a first interpretation of the second natural language utterance from the first domain agent; obtaining a second interpretation of the second natural language utterance from the second domain agent; and determining the interpretation based on one or more of the first interpretation or the second interpretation;  determining, by the one or more physical processors, promotional content based on the interpretation; and presenting, by the one or more physical processors, the promotional content to a user.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US20160260430A1;Computer-implemented method for converting natural language input into command input for target device, involves performing input transformation on portion of cleaned natural language input The method involves converting an audio input into text with a natural language input. A portion of the natural language input is intended for a target device that requires commands to be properly formed for the target device to be executed. A natural language processing (NLP) input cleaning is performed (610) on the natural language input. An input transformation is performed (615) on a portion of the cleaned natural language input to convert the cleaned natural language input one or more properly formed commands that are target-specific for the target device. INDEPENDENT CLAIMS are included for the following:a natural language processing (NLP) system for converting a natural language input into a target-specific command input for a target device; anda non-transitory computer-readable medium or media storing program for converting a natural language input into a command input for a target device. Computer-implemented method for converting a natural language input into a command input for a target device such as personal computer e.g. desktop or laptop, tablet computer, mobile device e.g. personal digital assistant (PDA) or smart phone, server e.g. blade server or rack server and a network storage device used in financial transaction processing, airline reservations, enterprise data storage and global communication in business, personal and other purpose. The network administration staff can be more familiar with certain vendors' configuration and maintenance requirements and suggest or buy those vendors' equipment. A user-friendly natural language interface can be provided by a single point of administration, management and monitoring across a network. The command line interface (CLI) definition files tend to be more accurate than statistical models. The system can use corrected changes whether audio or text to improve the learning process. An input can be sent to a set of devices by providing ease and efficiency for the user. The drawing shows a flow chart illustrating the method for performing a natural language processing (NLP) query look-up. 605Step for receiving natural language input610Step for performing natural language processing input cleaning615Step for performing query transformation620Step for forming proper commands625Step for receiving command results A computer-implemented method for converting a natural language input into a command input for a target device comprising: converting an audio input into text comprising a natural language input, at least a portion of the natural language input being intended for a target device that requires commands to be properly formed for the target device to be executed; performing natural language processing (NLP) input cleaning on the natural language input; and performing input transformation on at least a portion of the cleaned natural language input to convert the cleaned natural language input one or more properly formed commands that are target-specific for the target device.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US20170154628A1;Method for processing a natural language query, involves receiving the natural language query for the application, where natural language processor uses natural language modules to interpret the natural language query for the application The method involves receiving the natural language query for the application. The natural language processor uses natural language modules to interpret the natural language query for the application. A charge for processing the natural language query is calculated for each of the natural language module. The charge is determined in accordance with a pricing model defined for the natural language module. Method for processing a natural language query. The method involves receiving the natural language query for the application, and hence ensures simple and efficient processing method. The drawing shows a schematic representation of an assembling natural language recognition functionality. 401Integrator402Natural language module412Natural language query413Natural language module list414Natural language module selection A method for processing a natural language query, the method comprising: receiving the natural language query for the application; a natural language processor using one or more natural language modules to interpret the natural language query for the application; and for each of the one or more natural language modules: calculating a charge for processing the natural language query, the charge determined in accordance with a pricing model defined for the natural language module.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US9805717B2;Computer-implemented method for converting natural language input into command input for target device, involves performing input transformation on portion of cleaned natural language input The method involves converting an audio input into text with a natural language input. A portion of the natural language input is intended for a target device that requires commands to be properly formed for the target device to be executed. A natural language processing (NLP) input cleaning is performed (610) on the natural language input. An input transformation is performed (615) on a portion of the cleaned natural language input to convert the cleaned natural language input one or more properly formed commands that are target-specific for the target device. INDEPENDENT CLAIMS are included for the following:a natural language processing (NLP) system for converting a natural language input into a target-specific command input for a target device; anda non-transitory computer-readable medium or media storing program for converting a natural language input into a command input for a target device. Computer-implemented method for converting a natural language input into a command input for a target device such as personal computer e.g. desktop or laptop, tablet computer, mobile device e.g. personal digital assistant (PDA) or smart phone, server e.g. blade server or rack server and a network storage device used in financial transaction processing, airline reservations, enterprise data storage and global communication in business, personal and other purpose. The network administration staff can be more familiar with certain vendors' configuration and maintenance requirements and suggest or buy those vendors' equipment. A user-friendly natural language interface can be provided by a single point of administration, management and monitoring across a network. The command line interface (CLI) definition files tend to be more accurate than statistical models. The system can use corrected changes whether audio or text to improve the learning process. An input can be sent to a set of devices by providing ease and efficiency for the user. The drawing shows a flow chart illustrating the method for performing a natural language processing (NLP) query look-up. 605Step for receiving natural language input610Step for performing natural language processing input cleaning615Step for performing query transformation620Step for forming proper commands625Step for receiving command results A computer-implemented method for converting a natural language input into a command input for a target device comprising: converting an audio input into text comprising a natural language input, at least a portion of the natural language input being intended for a target device from among a plurality of potential target devices that requires commands to be properly formed for the target device to be executed; performing natural language processing (NLP) input cleaning on the natural language input; and performing input transformation on at least a portion of the cleaned natural language input to convert the cleaned natural language input into one or more properly formed commands that are target-specific for the target device by performing the steps comprising: performing a lookup in a lemmatization database to convert at least some of the cleaned natural language input to a target-specific input that comprises target-specific vocabulary that corresponds to the target device; and using the target-specific input to perform a lookup in a command template database to obtain a target-specific command template match corresponding to the target-specific input that comprises target-specific vocabulary, the target-specific command template being used to create at least one of the one or more properly formed commands.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US9305548B2;Method of processing natural language utterances, involves receiving second prediction of intent of user and determining intent of user based on first prediction and second prediction The method involves performing speech recognition to determine words of the natural language utterance. A first prediction of intent of the user is determined based on the words. The natural language utterance is transmitted to a second device. A second prediction of the intent of the user is received from the second device by the first device. The intent of the user is determined based on the first prediction and the second prediction. An INDEPENDENT CLAIM is included for a system for processing natural language utterances. Method of processing natural language utterances in integrated, multi-modal, multi-device natural language voice services environment. The information contained in the recognition grammars are dynamically optimized to improve a likelihood of a given utterance being recognized accurately. The additional knowledge is provided to a device having low intent determination reliability, even when knowledge results in redundancy in the environment, to ensure commensurate reliability of intent determination environment-wide. The drawing shows the block diagram of the multi-modal electronic device provided in an integrated, multi-device natural language voice services environment. 100Electronic device105Input mechanism110Automatic speech recognizer120Conversational language processor160Data repository A method of processing natural language utterances, the method being implemented by a first device that comprises one or more physical processors executing one or more computer program instructions which, when executed, perform the method, the method comprising: receiving, by the first device, a natural language utterance spoken by a user; performing, by the first device, speech recognition to determine one or more words of the natural language utterance; determining, by the first device, based on the one or more words, a first prediction of an intent of the user and a domain relating to the natural language utterance; determining, by the first device, processing capabilities associated with a plurality of devices, wherein the plurality of devices comprises a second device; selecting, by the first device, based on the processing capabilities associated with the second device and the domain, the second device to determine the second prediction; transmitting, by the first device, the natural language utterance to the second device based on the selection; receiving, from the second device by the first device, a second prediction of the intent of the user; and determining, by the first device, the intent of the user based on the first prediction and the second prediction.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CN105427122A;Advertisement e.g. sponsored message, selecting and presenting method for e.g. marketing, involves selecting advertisement based on received request and retrieved information, and presenting selected advertisement to user The method involves receiving a voice-based input including a request, and retrieving information from a knowledge source based on the received request. An advertisement is selected based on the received request and the retrieved information. The selected advertisement is presented to a user, where the retrieved information is related to a content of a voice-based input, an action associated with the request, a location of the user, a user-specific profile and a global user profile e.g. demographics. An INDEPENDENT CLAIM is also included for a system for selecting and presenting advertisements in response to voice-based input that is received by a voice user interface. Method for selecting and presenting advertisements such as sponsored message, calls to action, purchase opportunity, and trial downloads, and other marketing communication in response to voice-based inputs received by a voice user interface having interface with a voice-enabled device such as a personal navigation device, personal digital assistant, media device, telematics device, personal computer, and a mobile phone for marketing and advertising. The method allows the user to select an advertisement, and interprets a subsequent voice-based input with shared knowledge of the advertisement that is related to the voice-based input, so that the advertisements enable the advertisers to market to consumers, thus improving the consumer interaction with the consumer electronics device. The drawing shows a block diagram of a system for implementing a voice user interface.105Input device110Automatic speech recognizer120Conversational language processor125Voice search engine130Context determination module of supply to one of one or more of nature language sentence/promotional content response to the computer implementation of the method, the method through computer system comprising executing one or more of computer program instructions of one of one or more of physical processor is executing, the number one or more of computer program instructions executing on time by carrying out the method, said method comprises: receiving the first language sentence to in the nature of one or more of physical processor, of the one or more one of physical processor providing the response to the first nature language utterance, receiving on the first language sentence in the nature of one or more physical processor of the position, of the one or more one of physical processor carrying out voice recognition, to identify the second language sentence and nature of one or more of words, from the one or more of the whole physical processor based on the first language sentence nature determining out the recognition of one or more words of the area information, from the analysis of one or more of physical processor based on the area information to identify out the one or more number of word processing and determining the second language sentence is nature, The corresponding outlet of the recognition of one or more words of process comprises: providing the one or more of the whole word identification out of and the first area relevant to the local agency and the first and the second area of the second relevant local agency, from the first local agency first parsing the second nature language sentence is obtained, from the second region the second agency obtaining second nature language analysis of speech, and based on the first or second analysis and the analysis of one or more of the determined parsing, by the one or more of physical processor based on the analysis of determining promotional content, and the one of two or more physical processor presentation of the promotional content to user.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US20150142447A1;Method of processing natural language utterances, involves receiving second prediction of intent of user and determining intent of user based on first prediction and second prediction The method involves performing speech recognition to determine words of the natural language utterance. A first prediction of intent of the user is determined based on the words. The natural language utterance is transmitted to a second device. A second prediction of the intent of the user is received from the second device by the first device. The intent of the user is determined based on the first prediction and the second prediction. An INDEPENDENT CLAIM is included for a system for processing natural language utterances. Method of processing natural language utterances in integrated, multi-modal, multi-device natural language voice services environment. The information contained in the recognition grammars are dynamically optimized to improve a likelihood of a given utterance being recognized accurately. The additional knowledge is provided to a device having low intent determination reliability, even when knowledge results in redundancy in the environment, to ensure commensurate reliability of intent determination environment-wide. The drawing shows the block diagram of the multi-modal electronic device provided in an integrated, multi-device natural language voice services environment. 100Electronic device105Input mechanism110Automatic speech recognizer120Conversational language processor160Data repository 28. A method of processing natural language utterances, the method being implemented by a first device that comprises one or more physical processors executing one or more computer program instructions which, when executed, perform the method, the method comprising: receiving, by the first device, a natural language utterance spoken by a user; performing, by the first device, speech recognition to determine one or more words of the natural language utterance; determining, by the first device, based on the one or more words, a first prediction of an intent of the user; transmitting, by the first device, the natural language utterance to a second device; receiving, from the second device by the first device, a second prediction of the intent of the user; and determining, by the first device, the intent of the user based on the first prediction and the second prediction.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CN107148554A;Navigation system providing user adaptive navigation directions using natural language interface in e.g. smartphone, has directions engine presenting user adaptive navigation directions by considering prior and current user behavior data The system (100) has a route engine generating a route from a first location to a desired destination using map information. A log engine (132) logs a current user-system interaction including current user behavior data. An adaptive directions engine generates and presents user adaptive navigation directions by considering prior user behavior data and the current user behavior data to determine a classification of the user input and selecting user adaptive navigation directions based on the user input and the classification of the user input. INDEPENDENT CLAIMS are also included for the following:a method for providing user adaptive navigation directionsa computer-readable medium comprising a set of instructions for executing a method for providing user adaptive navigation directions. Navigation system providing user adaptive navigation directions using a natural language interface in a mobile computing device e.g. laptop, tablet and smartphone. The system provides user adaptive natural language interface to improve user experience for user to provide responses that are better suited for more palatable, acceptable and satisfactory to the user. The drawing shows a schematic block diagram of a system for providing a user adaptive natural language interface. 100Navigation system106Audio output128Database132Log engine140Network interface A navigation system for providing user self-adapting navigation guide, comprising: an input analyzer analyzing user input to derive for guiding to a desired destination of request and deriving current user behavior data, map data, providing map information; routing engine, using the map information generating from the first position a route to the desired destination, a recording engine, recording the current user-system interaction, the current user-system interaction comprises the user behaviour data, and adaptive guidance engine. through considering the previous user behaviour data and current user behavior data to determine the type of the user input, and through based on the category of the user input and the user input to select a user self-adapting navigation directions, so as to generate and present the user self-adapting navigation directions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US20160092160A1;Navigation system providing user adaptive navigation directions using natural language interface in e.g. smartphone, has directions engine presenting user adaptive navigation directions by considering prior and current user behavior data The system (100) has a route engine generating a route from a first location to a desired destination using map information. A log engine (132) logs a current user-system interaction including current user behavior data. An adaptive directions engine generates and presents user adaptive navigation directions by considering prior user behavior data and the current user behavior data to determine a classification of the user input and selecting user adaptive navigation directions based on the user input and the classification of the user input. INDEPENDENT CLAIMS are also included for the following:a method for providing user adaptive navigation directionsa computer-readable medium comprising a set of instructions for executing a method for providing user adaptive navigation directions. Navigation system providing user adaptive navigation directions using a natural language interface in a mobile computing device e.g. laptop, tablet and smartphone. The system provides user adaptive natural language interface to improve user experience for user to provide responses that are better suited for more palatable, acceptable and satisfactory to the user. The drawing shows a schematic block diagram of a system for providing a user adaptive natural language interface. 100Navigation system106Audio output128Database132Log engine140Network interface A navigation system providing user adaptive navigation directions, comprising: an input analyzer to analyze user input to derive a request for directions to a desired destination and to derive current user behavior data; map data providing map information; a route engine to generate a route from a first location to the desired destination using the map information; a log engine to log a current user-system interaction, including current user behavior data; and an adaptive directions engine to generate and present user adaptive navigation directions, by considering prior user behavior data and the current user behavior data to determine a classification of the user input and selecting user adaptive navigation directions based on the user input and the classification of the user input.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US20160372112A1;System for managing interactions between user and applications, has processor is configured to parse voice command, and parsing including processing natural language associated with voice command The system (300) has a processor is configured to receive a command (120) including a voice command from a user (130). The processor also derives the one or more key words from the voice command. The processor also selects an executing device for executing the voice command based on the one or more key words. The processor also directs the voice command to the executing device to execute the voice command. The processor also parses the voice command, and the parsing including processing a natural language associated with the voice command. An INDEPENDENT CLAIM is also included for a method for managing interactions between a user and applications. System for managing interactions between user and applications. The command execution confirmation is provided to the user by reproducing the command execution confirmation by the speech. The user can manage the bi-directional communication with the applications and other users associated with the applications. The systems is accessible to outside users who deploy applications within the computing infrastructure to obtain the benefit of large computational or storage resources. The drawing shows a schematic block diagram of a system. 110Network120Command130User140User interface300System A system for managing interactions between a user and applications, the system comprising: a processor operable to: receive a command from a user, the command including a voice command; derive one or more key words from the voice command, the one or more key words being associated with one or more executing devices, wherein the one or more executing devices are associated with one or more applications; select, based on the one or more key words, an executing device for executing the voice command; and direct the voice command to the executing device to execute the voice command; and  a parser in communication with the processor and operable to: parse the voice command, the parsing including processing a natural language associated with the voice command.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
